target;n_positive;n_negative;n_total;age_mean;age_mean_positive;age_mean_negative;age_std;age_std_positive;age_std_negative;age-stats_t-stat;age-stats_p-val;age-stats_cohen-d;sex_male;sex_female;sex_ratio_positive;sex_ratio_negative;sex-stats_chi2-stat;sex-stats_p-val;sex-stats_phi
pheno_extreme;8846;6127;14973;63.993866737906;64.274267088703;63.58903215276644;7.602112666563377;7.457566340465056;7.788908350567444;5.385600365240828;7.347949483665609e-08;0.09022308264091775;7386;7587;0.6985407066052227;1.5754518705338378;581.1362116577261;2.1229119527991097e-128;0.19700831507245808
sleep_duration_extreme;9959;6760;16719;64.39290128994956;65.02287712956455;63.46480522682445;7.513973853646729;7.3558353881915615;7.647636132029035;13.12834898303346;3.838619758990575e-39;0.20843247656601582;7909;8810;0.9803141777689401;0.7878868024332187;47.49785603795811;5.506413514605136e-12;0.05330057013614596
morning_extreme;3554;10687;14241;64.51137560564567;61.327494841493156;65.5701865194473;7.502375710586678;7.698707906079885;7.127830860576442;-28.981452543889127;2.016623926660257e-172;-0.5832299125043172;6956;7285;0.4939050021017234;1.1783530370974318;471.3337040943811;1.642652966981032e-104;0.18192567918991023
morning_evening_person_extreme;2398;7145;9543;64.05487442802752;62.929767862107305;64.43248192209005;7.552905675028346;7.656518145508522;7.480514863119486;-8.364160361390422;8.237979276617061e-17;-0.19969304587054487;4253;5290;0.8403683806600154;0.7920742412841736;1.4995968015459822;0.2207334110073204;0.01253559033300623
nap_day_extreme;1565;15915;17480;63.53770022883295;67.32161874334399;63.16560896428946;7.504480929004128;7.4303998790351224;7.408305810727222;21.118818994427244;5.0510953348463084e-89;0.5608434042647559;7568;9912;2.267223382045929;0.6871620905332344;475.6994098010832;1.8431096952759352e-105;0.1649664361190741
snoring;9469;16439;25908;63.98035034223663;63.642790509381484;64.17478759859682;7.528796538458272;7.254342110556216;7.675917647395566;-5.564079882115736;2.668064838690846e-08;-0.07070122005558954;12461;13447;1.434190231362468;0.7201004499319871;699.3589724701633;4.121923186470187e-154;0.16429832328153407
doze_day;6458;21406;27864;64.08033663508469;65.79162795499123;63.56405524930704;7.535098934941847;7.500040330698668;7.4692213757671295;20.93999117507725;1.9400173987105087e-95;0.29794823271544224;13123;14741;1.1348760330578513;0.8270740867190167;123.67787545235775;9.909264871111216e-29;0.06662301420016463
